relative_path,category,modality,sampling_rate,channels,data_shape,timestamps_shape
DEJA-VU/preprocessed/clean_P020_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[643066, 4]",[643066]
DEJA-VU/preprocessed/clean_P020_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[376790, 7]",[376790]
DEJA-VU/preprocessed/clean_P020_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[642257, 2]",[642257]
DEJA-VU/preprocessed/clean_P020_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12559, 1]",[12559]
DEJA-VU/preprocessed/clean_P021_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[614106, 4]",[614106]
DEJA-VU/preprocessed/clean_P021_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[359834, 7]",[359834]
DEJA-VU/preprocessed/clean_P021_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[613512, 2]",[613512]
DEJA-VU/preprocessed/clean_P021_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11995, 1]",[11995]
DEJA-VU/preprocessed/clean_P022_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[631802, 4]",[631802]
DEJA-VU/preprocessed/clean_P022_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[370184, 7]",[370184]
DEJA-VU/preprocessed/clean_P022_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[631772, 2]",[631772]
DEJA-VU/preprocessed/clean_P022_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12339, 1]",[12339]
DEJA-VU/preprocessed/clean_P023_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[636675, 4]",[636675]
DEJA-VU/preprocessed/clean_P023_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[373190, 7]",[373190]
DEJA-VU/preprocessed/clean_P023_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[636918, 2]",[636918]
DEJA-VU/preprocessed/clean_P023_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12439, 1]",[12439]
DEJA-VU/preprocessed/clean_P024_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[610804, 4]",[610804]
DEJA-VU/preprocessed/clean_P024_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[357890, 7]",[357890]
DEJA-VU/preprocessed/clean_P024_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[610806, 2]",[610806]
DEJA-VU/preprocessed/clean_P024_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11929, 1]",[11929]
DEJA-VU/preprocessed/clean_P025_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[576224, 4]",[576224]
DEJA-VU/preprocessed/clean_P025_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[337640, 7]",[337640]
DEJA-VU/preprocessed/clean_P025_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[576283, 2]",[576283]
DEJA-VU/preprocessed/clean_P025_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11254, 1]",[11254]
DEJA-VU/preprocessed/clean_P026_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[580863, 4]",[580863]
DEJA-VU/preprocessed/clean_P026_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[340943, 7]",[340943]
DEJA-VU/preprocessed/clean_P026_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[581257, 2]",[581257]
DEJA-VU/preprocessed/clean_P026_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[11364, 1]",[11364]
DEJA-VU/preprocessed/clean_P027_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[619529, 4]",[619529]
DEJA-VU/preprocessed/clean_P027_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[362984, 7]",[362984]
DEJA-VU/preprocessed/clean_P027_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[618712, 2]",[618712]
DEJA-VU/preprocessed/clean_P027_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12104, 1]",[12104]
DEJA-VU/preprocessed/clean_P028_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[621794, 4]",[621794]
DEJA-VU/preprocessed/clean_P028_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[364334, 7]",[364334]
DEJA-VU/preprocessed/clean_P028_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[621850, 2]",[621850]
DEJA-VU/preprocessed/clean_P028_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12145, 1]",[12145]
DEJA-VU/segments/sub-P001/S001_neutral_baseline.h5,segment_file,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[94192, 4]",[94192]
